elev_ft_navd88,band_area_acres_per_ft,cum_land_area_acres,connected_flood_area_acres,marginal_flood_area_acres_per_ft,flood_volume_acre_ft
0,0.0000,0.0000,0.0000,0.0000,0.0000
1,0.3748,0.3748,0.3718,0.3718,0.0000
2,0.4350,0.8098,0.7830,0.4112,0.3726
3,0.5584,1.3683,1.2161,0.4331,1.1571
4,3.7017,5.0700,3.3963,2.1801,2.4117
5,13.8751,18.9451,11.2278,7.8316,6.5069
6,30.8846,49.8297,39.7318,28.5039,23.1519
7,59.5012,109.3309,88.4534,48.7217,67.7094
8,79.8283,189.1592,181.7268,93.2733,183.1248
9,73.0686,262.2278,256.2192,74.4924,369.9615
10,50.9499,313.1777,309.2968,53.0775,631.9559
11,38.6022,351.7800,349.6971,40.4003,949.7812
12,26.1003,377.8802,377.5716,27.8746,1301.8000
13,23.3886,401.2688,400.9084,23.3367,1679.9475
14,9.3990,410.6678,410.3107,9.4024,2081.0508
15,5.2471,415.9149,415.5705,5.2597,2491.4956
16,4.3079,420.2228,419.7571,4.1867,2907.1562
